| # | entry |
| --- | --- |
| 1 | a-component-that-needs-starting-passes-every-behaviour-test |
| 2 | a-number-that-moves-without-new-data-is-an-assumption |
| 3 | NONE |
| 4 | a-surviving-mutant-can-mean-the-code-is-dead |
| 5 | NONE |
| 6 | NONE |
| 7 | NONE |
| 8 | NONE |
| 9 | a-control-built-from-the-treated-arm-is-not-a-control |
| 10 | NONE |
| 11 | NONE |
| 12 | a-guard-keyed-on-a-field-nobody-fills-is-a-silent-no-op |
| 13 | testing-rejection-is-not-testing-immutability |
| 14 | an-instrument-that-answers-a-different-question-can-be-wrong-two-ways |
| 15 | an-instrument-that-reshapes-input-fabricates-the-test |
| 16 | NONE |




> build · deepseek-v4.1-flash



