generation_id,created_at,cost_total,cost_web_search,cost_cache,cost_file_processing,byok_usage_inference,tokens_prompt,tokens_completion,tokens_reasoning,tokens_cached,model_permaslug,provider_name,variant,cancelled,streamed,user,finish_reason_raw,finish_reason_normalized,generation_time_ms,time_to_first_token_ms,app_name,api_key_name,api_key_disabled
gen-1786776803-Po47Mbgts7qIH2JRav09,2026-08-15 06:53:23.956,0.00004,,,,0,128,192,183,0,deepseek/deepseek-v4-flash-20260423,DigitalOcean,standard,false,true,,stop,stop,20133,1044,MSCodeBase 1-L live arm,test567,false
gen-1786776787-VuOChLJFCSSrx1pWngXJ,2026-08-15 06:53:06.851,0.000041,,,,0,134,194,183,0,deepseek/deepseek-v4-flash-20260423,DigitalOcean,standard,false,true,,stop,stop,16394,816,MSCodeBase 1-L live arm,test567,false
gen-1786776716-wDDgRdp693xXj0mhzW3t,2026-08-15 06:51:56.979,0.00005,,,,0,135,251,244,0,deepseek/deepseek-v4-flash-20260423,DigitalOcean,standard,false,true,,stop,stop,69371,1337,MSCodeBase 1-L live arm,test567,false
gen-1786776686-6S3aDbhwZxJlB0S65Z6F,2026-08-15 06:51:26.308,0.000031,,,,0,134,133,121,0,deepseek/deepseek-v4-flash-20260423,DigitalOcean,standard,false,true,,stop,stop,30126,1838,MSCodeBase 1-L live arm,test567,false
gen-1786776674-Quj6oxaCyznoet7fbvkp,2026-08-15 06:51:14.774,0.000031,,,,0,132,137,129,0,deepseek/deepseek-v4-flash-20260423,DigitalOcean,standard,false,true,,stop,stop,11029,944,MSCodeBase 1-L live arm,test567,false
gen-1786776644-4G5nEhCEaLsXCxGQzQUz,2026-08-15 06:50:44.693,0.00003,,,,0,130,128,122,0,deepseek/deepseek-v4-flash-20260423,DigitalOcean,standard,false,true,,stop,stop,29575,2489,MSCodeBase 1-L live arm,test567,false
gen-1786776630-mkFUVZRtVaFTXu9s1Hf6,2026-08-15 06:50:30.516,0.000036,,,,0,135,163,150,0,deepseek/deepseek-v4-flash-20260423,DigitalOcean,standard,false,true,,stop,stop,13665,632,MSCodeBase 1-L live arm,test567,false
gen-1786776619-EEgokGBM2MRieMvb0wb5,2026-08-15 06:50:19.148,0.000031,,,,0,127,136,128,0,deepseek/deepseek-v4-flash-20260423,DigitalOcean,standard,false,true,,stop,stop,10863,1394,MSCodeBase 1-L live arm,test567,false
gen-1786776604-hzy9SMDzPKoW4fS2BksU,2026-08-15 06:50:04.777,0.000043,,,,0,134,206,191,0,deepseek/deepseek-v4-flash-20260423,DigitalOcean,standard,false,true,,stop,stop,13830,1142,MSCodeBase 1-L live arm,test567,false
gen-1786776589-DkpS6fXt2Dl227IpHCNr,2026-08-15 06:49:49.162,0.000031,,,,0,131,138,124,0,deepseek/deepseek-v4-flash-20260423,DigitalOcean,standard,false,true,,stop,stop,15034,1513,MSCodeBase 1-L live arm,test567,false
gen-1786776567-WLTH9SfzehT3LUKNzgju,2026-08-15 06:49:27.852,0.000029,,,,0,132,126,111,0,deepseek/deepseek-v4-flash-20260423,DigitalOcean,standard,false,true,,stop,stop,20728,412,MSCodeBase 1-L live arm,test567,false
gen-1786776549-ovKoTSMieeVcCLK346tJ,2026-08-15 06:49:09.231,0.000045,,,,0,133,222,219,0,deepseek/deepseek-v4-flash-20260423,DigitalOcean,standard,false,true,,stop,stop,18126,2752,MSCodeBase 1-L live arm,test567,false
gen-1786776511-0jGmu2wDcOxlESgbpIZM,2026-08-15 06:48:31.842,0.000039,,,,0,133,186,174,0,deepseek/deepseek-v4-flash-20260423,DigitalOcean,standard,false,true,,stop,stop,36883,2091,MSCodeBase 1-L live arm,test567,false
gen-1786776484-4FxlSWiMa5eAOrvaE72q,2026-08-15 06:48:04.614,0.000027,,,,0,132,110,100,0,deepseek/deepseek-v4-flash-20260423,DigitalOcean,standard,false,true,,stop,stop,26718,1623,MSCodeBase 1-L live arm,test567,false
gen-1786776448-xw0zlVPF2YMcR4D8x2bw,2026-08-15 06:47:28.363,0.00004,,,,0,135,186,177,0,deepseek/deepseek-v4-flash-20260423,DigitalOcean,standard,false,true,,stop,stop,35722,1944,MSCodeBase 1-L live arm,test567,false
gen-1786776434-JF97Idz7cO4d0eOYO2d8,2026-08-15 06:47:14.059,0.000032,,,,0,131,145,137,0,deepseek/deepseek-v4-flash-20260423,DigitalOcean,standard,false,true,,stop,stop,13782,1955,MSCodeBase 1-L live arm,test567,false
gen-1786776423-VKKKlB6yKNNWWwRZcnxB,2026-08-15 06:47:03.237,0.00004,,,,0,133,192,181,0,deepseek/deepseek-v4-flash-20260423,DigitalOcean,standard,false,true,,stop,stop,10307,567,MSCodeBase 1-L live arm,test567,false
gen-1786776400-W37EYVevin1v7Io6awut,2026-08-15 06:46:40.552,0.000059,,,,0,135,305,286,0,deepseek/deepseek-v4-flash-20260423,DigitalOcean,standard,false,true,,stop,stop,22128,2415,MSCodeBase 1-L live arm,test567,false
gen-1786776347-nEYSAvP3wWVAI4z7hYfu,2026-08-15 06:45:47.326,0.00005,,,,0,130,251,235,0,deepseek/deepseek-v4-flash-20260423,DigitalOcean,standard,false,true,,stop,stop,52542,1971,MSCodeBase 1-L live arm,test567,false
gen-1786776332-8yKbPJsabTQiz0IRgzp4,2026-08-15 06:45:32.365,0.000047,,,,0,131,231,223,0,deepseek/deepseek-v4-flash-20260423,DigitalOcean,standard,false,true,,stop,stop,14411,888,MSCodeBase 1-L live arm,test567,false
